text,actual,predicted,probability_not_disaster,probability_disaster,clean_text,correct
19.00 obs from #Kirkwall Airport showed sustained wind speeds in the preceding hour of 74.1 km/h (46.0 mph) or Forc… https://t.co/uvekPOQJr9,1,0,0.7463960364707639,0.2536039635292361,obs kirkwall airport showed sustained wind speeds preceding hour kmh mph forc,False
Incredible. The liberal Atlantic admits Obama's Iran deal was a disaster because: - it was seen by Iran as a surrender…,0,0,0.6255493349921698,0.3744506650078302,incredible liberal atlantic admits obamas iran deal disaster seen iran surrender,True
"KMEDIA: Park Seo-joon, #BTSV, joined the Philippine volcano in its prayers. Insta hashtag movement. Park Seo-joon and B…",0,0,0.6026176418613076,0.39738235813869244,kmedia park seojoon btsv joined philippine volcano prayers insta hashtag movement park seojoon b,True
i died and they watched me burn and drown https://t.co/K0O3ZxL6E6,0,0,0.6723095986275184,0.3276904013724816,died watched burn drown,True
"“When you tear out a man's tongue, you are not proving him a #liar, you're only telling the world that you #fear wh… https://t.co/PYfSPKDRCZ",0,0,0.9505406690141364,0.049459330985863685,tear mans tongue proving liar youre telling world fear wh,True
"Five soldiers were trapped under the #avalanche, efforts are on to trace one missing soldier https://t.co/qPWN5ug5w7 #Machil",1,0,0.5164714997753133,0.4835285002246868,five soldiers trapped avalanche efforts trace one missing soldier machil,False
The massive global news interest in #AustraliaBurning shows the scale of the disaster. And every interviewer and writer w…,0,0,0.7576631775981308,0.2423368224018691,massive global news interest australiaburning shows scale disaster every interviewer writer w,True
A man has been taken to #Gloucestershire Royal Hospital with serious injuries following a two-car collision on Priors R…,1,1,0.2567415096910002,0.7432584903089998,man taken gloucestershire royal hospital serious injuries following twocar collision priors r,True
Congratulations. I always described the first few weeks as living in a parallel universe in your u… https://t.co/WwfUGouJzr,0,0,0.9177358424565818,0.0822641575434182,congratulations always described first weeks living parallel universe u,True
"A side by side comparison of the fire devastation on Kangaroo Island, Australia. 😢😢 https://t.co/dqj307GSxq",1,1,0.4315373846420151,0.5684626153579849,side side comparison fire devastation kangaroo island australia,True
I recon well get revenge on Norwich and a win against Burnley with some players back from injury. I t… https://t.co/YUIFCqgBer,0,0,0.8832620112028561,0.11673798879714395,recon well get revenge norwich win burnley players back injury,True
Hi Simon. I do apologise for the disruption. Due to a freight train derailment in the Hitchin area… https://t.co/6jonuyxaxu,1,1,0.04674322580712342,0.9532567741928766,hi simon apologise disruption due freight train derailment hitchin area,True
But... The airplane accident...,1,0,0.6825282705135229,0.3174717294864771,airplane accident,False
The story that won't die. 2 more dogs. Cane Corsos. https://t.co/7oQxpwqIKh,0,0,0.9037805417649435,0.09621945823505651,story wont die dogs cane corsos,True
Australian Open matches to be confined to indoor courts if conditions turn hazardous | Article [AMP] | Reuters https://t.co/0jQtRXoFen,0,0,0.7849216815277298,0.21507831847227019,australian open matches confined indoor courts conditions turn hazardous article amp reuters,True
You have never been drowned! Your tea will not bother me!----Röbel will the equations and three hours' exercise and clothes,0,0,0.9049741562233938,0.09502584377660615,never drowned tea bother merbel equations three hours exercise clothes,True
Darude - Sandstorm,0,0,0.9228571643549933,0.07714283564500664,darude sandstorm,True
And drumroll its beach girl. Henry tried to keep pressure on the wound and calls for an… https://t.co/gvo4M76B1O,0,0,0.85885948228862,0.14114051771138006,drumroll beach girl henry tried keep pressure wound calls,True
"Justice Mishra said the court would like to keep an eye on the goings-on in the case, especially while the debris of the dem…",0,0,0.9427771741939628,0.0572228258060372,justice mishra said court would like keep eye goingson case especially debris dem,True
"Overdose calls, deaths up in Yarmouth https://t.co/jERWhRrpOQ",1,0,0.841777846082096,0.15822215391790398,overdose calls deaths yarmouth,False
Tradies are the backbones of the union movement. Top blokes. https://t.co/sjVkRnv2sQ,0,0,0.9074408997639912,0.09255910023600873,tradies backbones union movement top blokes,True
Trumps Presidency =2024 Oil spill in Alaska has resulted in the pos… https://t.co/VFThhlnf8f,1,0,0.7783032324241019,0.221696767575898,trumps presidency oil spill alaska resulted pos,False
this should work or else m bombing cj enm fr 😴,0,0,0.8963092717986889,0.10369072820131109,work else bombing cj enm fr,True
"""Jimmy escaped the fires, but not the pain of devastating loss"" We don’t really have the capacity to grasp this much loss — no…",0,0,0.8525896131407301,0.14741038685926988,jimmy escaped fires pain devastating loss dont really capacity grasp much loss,True
"DNC 2.0. To protect Trump the GRU will manufacture &amp; insert Black propaganda, fake emails in a data base Burisma emails t…",0,0,0.9057747867205109,0.09422521327948903,dnc protect trump gru manufacture amp insert black propaganda fake emails data base burisma emails,True
2 seconds. Why is she singing through her nose? And why did she not trim nose hair first. You can hear… https://t.co/AdZYecr7tZ,0,0,0.8319027590495185,0.16809724095048148,seconds singing nose trim nose hair first hear,True
*Opens up cover of Trail of Lightning and reads what’s written. Gets to last line: “I’m the person you hire when t… https://t.co/tiunX6oqsX,0,0,0.8942344682438675,0.10576553175613249,opens cover trail lightning reads whats written gets last line im person hire,True
Jeonghan went to audition for Pledis bcs he wanted to tackle his fear of being in front of people. He said in University…,0,0,0.9245464757874016,0.07545352421259838,jeonghan went audition pledis bcs wanted tackle fear front people said university,True
Jeffrey Epstein’s Ex-Cellmate Calls for Probe in Suicide Attempt Video’s Destruction #Epsteindidntkillhimself https…,1,0,0.8219140982333425,0.1780859017666575,jeffrey epsteins excellmate calls probe suicide attempt videos destruction epsteindidntkillhimself,False
They would steal calls so if they knew what type of ball the opponent was throwing they would bang loud… https://t.co/SEKwdWpf36,0,0,0.9407642842266932,0.05923571577330673,would steal calls knew type ball opponent throwing would bang loud,True
"Telnet backdoor opens 1M+ #IoT radios to hijack. Attackers can drop #malware, add the device to a botnet or send their own…",0,0,0.9094052119869862,0.09059478801301375,telnet backdoor opens iot radios hijack attackers drop malware add device botnet send,True
"“Mary decided what was important, and she did not let the day-to-day get her away from that. As a result, she was d… https://t.co/qCXW4cGJth",0,0,0.9483384388455472,0.051661561154452744,mary decided important let daytoday get away result,True
We are not burning. We are just concerned about our mothers daughters and sisters who… https://t.co/58wNcO8D5k,0,0,0.9073131738643896,0.09268682613561041,burning concerned mothers daughters sisters,True
"While the press feasts off a tiny ""he-said, she-said"" tiff between Warren and Sanders, Trump is Cutting 700,000 off food stam…",0,0,0.9388322864759165,0.061167713524083435,press feasts tiny hesaid shesaid tiff warren sanders trump cutting food stam,True
this storm is quite violent oh lord imagine irish people actually being in a hurricane,1,0,0.8677696859597289,0.13223031404027108,storm quite violent oh lord imagine irish people actually hurricane,False
EU collapse in polls: #Italy: LEGA (Salvini) 👉 biggest #France: Le Pen 👉 biggest #Netherlands: PVV (Wilders) 👉 shared…,0,0,0.9039815752894985,0.09601842471050151,eu collapse polls italy lega salvini biggest france le pen biggest netherlands pvv wilders shared,True
"On the stretcher, hearts exploded. Minutes left, a nurse holds his hand. 'u no I wud'",0,0,0.8173700381280529,0.18262996187194716,stretcher hearts exploded minutes left nurse holds hand u wud,True
Its crazy and sad to see the current fires happening in the amazon rain forest! I was lucky to visit last year to…,1,0,0.777280514865183,0.22271948513481699,crazy sad see current fires happening amazon rain forest lucky visit last year,False
0.5 mile from me. Any idea what time this hit? Around 445 storm was very violent at my area 😳,1,0,0.6907454046549832,0.3092545953450168,mile idea time hit around storm violent area,False
Future #wildfire risks grow with each added degree. To minimise growth in fire risk we must in fire risk we must stabilise…,0,0,0.8301161865797239,0.16988381342027617,future wildfire risks grow added degree minimise growth fire risk must fire risk must stabilise,True
I already had my panic attack like 2 hours ago. Ur late .... bye 🥴,0,0,0.8002608411120508,0.19973915888794927,already panic attack like hours ago ur late bye,True
Funny (not) how the Australian authorities have investigated nearly 200 people for arson and already charged some.… https://t.co/6MaT9MYXGa,1,0,0.5220260051167412,0.47797399488325876,funny australian authorities investigated nearly people arson already charged,False
"Hello all, as you guys know Australia has been on fire for quite a while now, almost 500,000,000 animals have been wiped o…",1,0,0.6497462723450711,0.3502537276549289,hello guys know australia fire quite almost animals wiped,False
You guys love saying that. Its the most blatantly arrogant thing comin… https://t.co/6ZMOfiF2E9,0,0,0.9240627234557397,0.07593727654426027,guys love saying blatantly arrogant thing comin,True
"Let's face it: He thought it, wrote it and published it. At each point, the… https://t.co/RTo7CzTsxH",0,0,0.9390023879922654,0.06099761200773456,lets face thought wrote published point,True
"In the rush to leave the fire-affected area in the South Coast, Henry left his favourite toy garbage truck behind. Stephen…",0,0,0.6556686479223816,0.34433135207761845,rush leave fireaffected area south coast henry left favourite toy garbage truck behind stephen,True
Sri Lanka releases soldier from prison for massacre of Tamils https://t.co/wE38dM5zjG… #lka #srilanka #tamil #eelam #…,1,0,0.730104821136606,0.269895178863394,sri lanka releases soldier prison massacre tamils lka srilanka tamil eelam,False
Some of them are still alive! Yay! I hope the rescuers can find bigger boats to transport the horses off the islandnand…,0,0,0.8354704703906057,0.16452952960939424,still alive yay hope rescuers find bigger boats transport horses islandnand,True
Morrison has failed Australia. The world has n… https://t.co/6cauPYwb2A,0,0,0.8001896158215646,0.19981038417843547,morrison failed australia world n,True
Bet they’ve neutered it now to avoid getting sued. Back in the day a Wham bar was infused with n… https://t.co/NKzOlmi3IF,0,0,0.9201410576318476,0.0798589423681524,bet theyve neutered avoid getting sued back day wham bar infused n,True
Many times we wish we were sunk in the same predicament with our friends and that’s because It makes it bearable. Does…,0,0,0.9262502640237462,0.07374973597625382,many times wish sunk predicament friends thats makes bearable,True
That sounds like the comics. I don't think the sirens were ever mentioned by name in the show.,0,0,0.991709513287211,0.008290486712788937,sounds like comics dont think sirens ever mentioned name show,True
Watch the Crowd at the LSU vs Clemson National Title Game Explode in Cheers as President Trump and First Lady Melania Tr…,0,0,0.9100493191903065,0.08995068080969344,watch crowd lsu vs clemson national title game explode cheers president trump first lady melania tr,True
"As a Canadian, I am very concerned. The airplane that was shot down by accident had 67 Canadians - many… https://t.co/v8MsKmrLyB",0,0,0.6158382836418352,0.38416171635816476,canadian concerned airplane shot accident canadians many,True
"NEWS: On 13 jan two Avalanches have hit in J&amp;K. 1.Machhil Sector near LoC- 5 Jawans trapped under debris, 4 recovered, o…",1,1,0.3718733857828803,0.6281266142171197,news jan two avalanches hit jampk machhil sector near loc jawans trapped debris recovered,True
"This proves how total metal Your attitude is. I wander what to put in a ""Christian mum"" mailbox for a pres…",0,0,0.9194704517578938,0.08052954824210617,proves total metal attitude wander put christian mum mailbox pres,True
Yes and to your last point - that’s what makes it so weird and sinister. It’s like being taught how to dro… https://t.co/S4sbZ3LeUu,0,0,0.9658246453522297,0.0341753546477703,yes last point thats makes weird sinister like taught dro,True
#NowPlaying Demolition Man (2018) by FLOTSAM AND JETSAM,0,0,0.8902508298972659,0.1097491701027341,nowplaying demolition man flotsam jetsam,True
"One day, when the bear is older and bigger, he will remember his kind rescuers and save them from peril. I like to thi…",0,0,0.94532413268037,0.05467586731963007,one day bear older bigger remember kind rescuers save peril like thi,True
All hail the Daudu https://t.co/FK2nvuIuV2 https://t.co/A5pdnC3s5h,0,0,0.9149782779144822,0.08502172208551784,hail daudu,True
"Please take note, pet owners and animal rescuers: Edsel Paredes opens his kennel for animals from the affected area… https://t.co/4Cs0YPnFIY",0,0,0.7655763627505761,0.2344236372494239,please take note pet owners animal rescuers edsel paredes opens kennel animals affected area,True
"Turkish-backed Syrian militia remove Kurdish people, culture in north Syria: Eyewitness https://t.co/AHDALzpQZv",0,0,0.8626875388745754,0.13731246112542458,turkishbacked syrian militia remove kurdish people culture north syria eyewitness,True
Taehyung’s army zip photos in one hour...... dunno if I’ll survive,0,0,0.924345514677722,0.07565448532227799,taehyungs army zip photos one hour dunno ill survive,True
"Day 8 Prayer 2 Any destiny killer and dream hijacker assigned against my life, let the judgement of the Lord come… https://t.co/TCsNwPecNd",0,0,0.9279712856054931,0.07202871439450685,day prayer destiny killer dream hijacker assigned life let judgement lord come,True
"Following last night's seven-alarm fire in downtown Bound Brook, citizens face power outages, road closures and sch… https://t.co/1llyVlN0iJ",1,0,0.534211814595561,0.465788185404439,following last nights sevenalarm fire downtown bound brook citizens face power outages road closures sch,False
Like a train wreck he's a spectacle.,0,0,0.708424617829104,0.291575382170896,like train wreck hes spectacle,True
someone forgot to teach us how to stay alive when the drowning is from inside.,0,0,0.9156511456999242,0.08434885430007573,someone forgot teach us stay alive drowning inside,True
In early December between 17-27 students fleeing violence at their campus were kidnapped while aboard… https://t.co/mxHZKT6WIa,1,0,0.5619252570156659,0.43807474298433413,early december students fleeing violence campus kidnapped aboard,False
"So you would have to detonate 6,150,000,000 (yes, billion) atomic bombs since 1981 to raise the temperature of the ocean 0…",0,0,0.8087494540174213,0.19125054598257876,would detonate yes billion atomic bombs since raise temperature ocean,True
If you play killer in Dead by Daylight and puppy guard hung survivors and tunnel them I’ll spank your ass irl,0,0,0.9212027376015345,0.07879726239846549,play killer dead daylight puppy guard hung survivors tunnel ill spank ass irl,True
was gonna workout but instead im laying on my floor listening to music for 2 hrs feeling absolutely flattened by this messed up monday.,0,0,0.9455499148999402,0.05445008510005976,gonna workout instead im laying floor listening music hrs feeling absolutely flattened messed monday,True
How does what appears to be a fairly recent derailment in Hitchin cause the 6:51 KGX to CBG to be cancelled?,0,0,0.6112292555384776,0.3887707444615224,appears fairly recent derailment hitchin cause kgx cbg cancelled,True
Tammy the slob sold a cow and then fell asleep before waking up to an earthquake,0,0,0.665338713905778,0.33466128609422197,tammy slob sold cow fell asleep waking earthquake,True
Chinese scientists investigating a mystery illness that has sickened dozens in Central China have discovered a new strain of coron…,0,0,0.5899204745269099,0.4100795254730901,chinese scientists investigating mystery illness sickened dozens central china discovered new strain coron,True
"Officials Charge Nearly 200 with Arson, Looting as Wildfires Rage https://t.co/sY2lhGhsGZ",1,0,0.7024993294300688,0.29750067056993124,officials charge nearly arson looting wildfires rage,False
No matter how much big grosser gives with help of EDX but he's brand will always remain much much lower …,0,0,0.9490159349584977,0.05098406504150234,matter much big grosser gives help edx hes brand always remain much much lower,True
"yes, O&amp;G workers keep us safe and warm! as do the people who keep our roads cleared, keep our lights on. first respond…",0,0,0.8540266659223047,0.14597333407769528,yes oampg workers keep us safe warm people keep roads cleared keep lights first respond,True
"Like many of you, we felt the need to do something to help Australia. For every RT this gets we’ll donate $0.50 to …",0,0,0.9335195208689884,0.06648047913101159,like many felt need something help australia every rt gets well donate,True
"Do not repeat this malign behaviour. #Iran mass murder. Thousands dead, vanished: organizer. https://t.co/LDdSb5UpGb",0,0,0.628726004023814,0.37127399597618604,repeat malign behaviour iran mass murder thousands dead vanished organizer,True
Why do I tweet? Because the mainstream media is ignoring the financial collapse happening in SA. The same with mainstrea…,0,0,0.9393518687558984,0.060648131244101636,tweet mainstream media ignoring financial collapse happening sa mainstrea,True
we gonna wait for the scene then we can blew this baby up- :),0,0,0.8697126111559847,0.1302873888440152,gonna wait scene blew baby,True
"VIRGO - The new model eggbeater or washing machine, the latest year’s car all demand some study and learning before… https://t.co/QQPrXkdnrU",0,0,0.8333468602121255,0.1666531397878746,virgo new model eggbeater washing machine latest years car demand study learning,True
"Texas Governor calls residents a ""hazard that must be removed "" by cleaning crews.",0,0,0.8002392848793751,0.19976071512062488,texas governor calls residents hazard must removed cleaning crews,True
"I've been getting alerts from the government emergency services app, saying that the air is hazardous to he…",1,0,0.7895331999133782,0.2104668000866218,ive getting alerts government emergency services app saying air hazardous,False
Of course I understand. What she doesn't understand is that consent to sex is not consen… https://t.co/b1IDK1POxq,0,0,0.9161668097126501,0.08383319028734998,course understand doesnt understand consent sex consen,True
very little wreckage was found or photographed. There are many examples of shooting planes down to kill one or two… https://t.co/V6blDxxcdz,1,0,0.6235881011889293,0.37641189881107073,little wreckage found photographed many examples shooting planes kill one two,False
"'wasn’t long before the obliteration of memory – and with it any trace of principle she might once have had –"" https://t.co/Q…",0,0,0.9230231686381659,0.0769768313618341,wasnt long obliteration memory trace principle might,True
Nobody can break a strong heart; as long as you believe in yourself nobody can destroy you,0,0,0.8846650178505074,0.11533498214949253,nobody break strong heart long believe nobody destroy,True
Top 5 Lightning Component Gems of Salesforce Spring’20 Release! https://t.co/k3z1S7g5pY,0,0,0.8608671385373291,0.1391328614626709,top lightning component gems salesforce spring release,True
"On the stretcher (wounded soldier), 1914 #russianart #marcchagall https://t.co/2QpV7CUqNR",0,0,0.8221707433418032,0.17782925665819685,stretcher wounded soldier russianart marcchagall,True
"I STILL CANNOT BELIEVE YOONGI SAID “WHAT DO I DO IF I DO WELL IN ACTING TOO?, IM IN TROUBLE” WITH HIS WHOLE CHEST,,, I ASPI…",0,0,0.9077456689637122,0.09225433103628772,still cannot believe yoongi said well acting im trouble whole chest aspi,True
Livestock Carrier Spills Fuel Oil at Port of Ceuta #ceuta #port #fuel #spill #maritime https://t.co/qUuJ5al1Pq,1,0,0.7375816224316134,0.26241837756838654,livestock carrier spills fuel oil port ceuta ceuta port fuel spill maritime,False
"#ChurchInAction Brothers &amp; Sisters, let us HELP those families displaced by the eruption of Taal Volcano. Please ca…",1,0,0.6207744908220875,0.37922550917791253,churchinaction brothers amp sisters let us help families displaced eruption taal volcano please ca,False
When a country spends billions on jets and submarines and subsidies for corporations but only millions on saving the remna…,0,0,0.8689202836817087,0.1310797163182913,country spends billions jets submarines subsidies corporations millions saving remna,True
"If we are however, including bigger ships like the Falcon and such, then I'm gonna have to say Slave 1.… https://t.co/nteN3g1sZ9",0,0,0.9338854699541641,0.06611453004583585,however including bigger ships like falcon im gonna say slave,True
"The speeding car rammed into a group of people, who were returning after attending a temple festival of Ayyappan Kavu in Thum…",1,0,0.7128648756263902,0.28713512437360983,speeding car rammed group people returning attending temple festival ayyappan kavu thum,False
Omg! You just got flattened. The British people don't want ex… https://t.co/jEF7mFMUo4,0,0,0.9156136567602822,0.08438634323971786,omg got flattened british people dont want ex,True
Hi Respected #Friends Hello #TweeterWorld #Namaste 🙏 G.morning Everyone 🤗 Avalanche Effect At Shimla INDIA Enjoy The Be…,1,0,0.8706341192571211,0.12936588074287889,hi respected friends hello tweeterworld namaste gmorning everyone avalanche effect shimla india enjoy,False
"“’Sundance’ appears to be the victim of a single, catastrophic wound from a Devourer Bullet, modified to fire from… https://t.co/ltJN4gITWO",0,0,0.8814416156365671,0.11855838436343288,sundance appears victim single catastrophic wound devourer bullet modified fire,True
Other people. Deemed it sensible to stay away from the shore today due to Storm Brendan. Here’s one I made earlier. #S…,0,0,0.6678767405921964,0.33212325940780363,people deemed sensible stay away shore today due storm brendan heres one made earlier,True
There was a damn good reason why the hazardous trail was known as the ‘Bloody Bozeman’. Will Joel &amp; his companions make…,0,0,0.9423360643141383,0.05766393568586165,damn good reason hazardous trail known bloody bozeman joel amp companions make,True
"""There is a duty on architects, planners, and urbanists to plan and construct resilient responses that can slow, and ev…",0,0,0.862972320431308,0.137027679568692,duty architects planners urbanists plan construct resilient responses slow ev,True
I used to lean on a cyclone fence and watch . My overwhelming summary of him....t…,0,0,0.9109595332818496,0.08904046671815039,used lean cyclone fence watch overwhelming summary himt,True
Im rioting,0,0,0.8680466963227911,0.13195330367720892,im rioting,True
just fucking drown the little shits &gt;&gt; Police spat at in water park fracas as troublemakers threaten more to come… https://t.co/bbMm3uZf7q,0,0,0.8700832451025919,0.1299167548974081,fucking drown little shits gtgt police spat water park fracas troublemakers threaten come,True
Characterization of Vaccine #SHEDDING with Live Nasal #FluVaccine FluMist: https://t.co/PziYXkouiT 89% of kids under two;…,0,0,0.8655610341342845,0.13443896586571552,characterization vaccine shedding live nasal fluvaccine flumist kids two,True
"But people should never be making money off war full stop, those who do are monsters and t… https://t.co/sjgV01hsWC",0,0,0.940677520105522,0.059322479894478086,people never making money war full stop monsters,True
"Yeah the Star Wars collab might be over in Fortnite, but I don't see wh…",0,0,0.9611487545980278,0.03885124540197213,yeah star wars collab might fortnite dont see wh,True
This explosion of practical effects in the restored original ending... you love to see it! https://t.co/syt1wZ0s7k,0,0,0.9585400232271651,0.04145997677283491,explosion practical effects restored original ending love see,True
SHOCKING! Animal Equality releases horrific investigative footage from supplier Summit Calf Ranch showing… https://t.co/I5941KmOSX,0,0,0.817647167837178,0.18235283216282203,shocking animal equality releases horrific investigative footage supplier summit calf ranch showing,True
"“I been here since 4:30 something for shortness of breath, and chest pains for them to just say it’s a two to SIX hour wait to…",0,0,0.7352496985627679,0.26475030143723205,since something shortness breath chest pains say two six hour wait,True
Ummah before everything. 'Eminent intellectuals' ready to make the most ridiculous of claims to provide cover to th… https://t.co/Pl4WWAsdAb,0,0,0.916280425510988,0.08371957448901206,ummah everything eminent intellectuals ready make ridiculous claims provide cover th,True
Lightning is hotter than the surface of the sun,0,0,0.8624393848617327,0.1375606151382673,lightning hotter surface sun,True
The worlds oceans are the clearest measure of the climate emergency.,0,0,0.8754245711437664,0.12457542885623361,worlds oceans clearest measure climate emergency,True
"I am The prophesied Jesus #Savior44 Prophesies say about ""signs"" of The Time of Apocalypse, like NOW when I am… •Th… https://t.co/fIzPZYkjT9",0,0,0.9262206802691172,0.0737793197308828,prophesied jesus savior prophesies say signs time apocalypse like th,True
"lwj: I want that twink obliterated wwx: destroys stygian tiger seal, gets obliterated lwj: this is not what I meant",0,0,0.9486379838830642,0.05136201611693583,lwj want twink obliterated wwx destroys stygian tiger seal gets obliterated lwj meant,True
Sorry. Trump is NOT to blame because a complete moron controlled a deadly weapons system. Anyone who th… https://t.co/CBC3cpwiEa,0,0,0.818248805767847,0.18175119423215305,sorry trump blame complete moron controlled deadly weapons system anyone th,True
USA Today poll taken Tuesday &amp; Wednesday has catastrophic political news for Trump on Iran. I bet White House polling showed…,0,0,0.7638598756889843,0.2361401243110157,usa today poll taken tuesday amp wednesday catastrophic political news trump iran bet white house polling showed,True
"And both my Senators are firmly on the Trump train. I STILL call and email and raise my voice, even whe…",0,0,0.7358505212998052,0.26414947870019484,senators firmly trump train still call email raise voice even whe,True
"#KincadeFire rages on as huge, 'historic' windstorm approaches. reports https://t.co/SQSu5NaQhU https://t.co/Bemsxy…",1,1,0.34669644707107194,0.653303552928928,kincadefire rages huge historic windstorm approaches reports,True
"I can’t believe the academy that gave Best Picture to Crash, The English Patient, Out of Africa, Forest Gump, Green Book, D…",0,0,0.8957917024729041,0.10420829752709593,cant believe academy gave best picture crash english patient africa forest gump green book,True
6-Alarm #Fire #BoundBrook #NewJersey Sun Massive Fire Start ~8PM 5 Story 174 Apt Bldg And Retail Under… https://t.co/mkAGx1QlRw,1,0,0.7905419735846323,0.20945802641536773,alarm fire boundbrook newjersey sun massive fire start pm story apt bldg retail,False
Photos show the Australian bush coming back to life weeks after fires https://t.co/1XxnCDeH2u via,0,0,0.7311977058913117,0.2688022941086883,photos show australian bush coming back life weeks fires via,True
Central LA Us101 S / N Vermont Ave **Trfc Collision-Unkn Inj** https://t.co/vyRHnE1pYw,1,0,0.832633513384188,0.16736648661581202,central la us n vermont ave trfc collisionunkn inj,False
"It was all around the house about 1ft up some of walls, we had seals on all air vents and flood gates… https://t.co/tm52Rr2rzM",0,0,0.8294677202364446,0.17053227976355542,around house ft walls seals air vents flood gates,True
"Davido was 5 seconds away from screaming ""shekpe!!!!"" 🤣🤣🤣🤣🤣 https://t.co/fZP4xLahYw",0,0,0.9022878300282132,0.09771216997178679,davido seconds away screaming shekpe,True
"LOONA leader line in Alexander McQueen, a thread. Kim Lip: https://t.co/9txjvnwATZ",0,0,0.9435719136946245,0.05642808630537553,loona leader line alexander mcqueen thread kim lip,True
Might ruin this for you 🤔,0,0,0.9266330133139483,0.07336698668605167,might ruin,True
"Navy imposes curfew in Ondo community over killing of Ratings, missing arms… https://t.co/HlGU4egwVs #sagagist",1,0,0.6945290945250736,0.3054709054749264,navy imposes curfew ondo community killing ratings missing arms sagagist,False
Things I don’t like about life . Me . And the fact that fire truck isn’t a song on K-12,0,0,0.9712975087012972,0.028702491298702844,things dont like life fact fire truck isnt song k,True
The most critical part of the plan is to get the additional power online ASAP! All IPPs must assist! ⚡ ⚡ ⚡ This is… https://t.co/ccsbuLgKPv,0,0,0.947336601906989,0.05266339809301098,critical part plan get additional power online asap ipps must assist,True
Iran attack appears to have been one of the worst-kept secrets in modern warfare. US military had hours to move planes and t…,0,0,0.681677974244758,0.31832202575524204,iran attack appears one worstkept secrets modern warfare us military hours move planes,True
"On Wednesday, Jan. 8, a jetliner operated by Ukrainian International Airlines crashed shortly after taking off in Iran. Al…",1,0,0.5329377634665062,0.46706223653349377,wednesday jan jetliner operated ukrainian international airlines crashed shortly taking iran al,False
"So Rwigyema Gisa Fredrick is being sidelined here😂😂😂😂 They faught a bush war,heavy and wonderful. Unt… https://t.co/eCq5zyrvbS",0,0,0.9230217477895898,0.07697825221041023,rwigyema gisa fredrick sidelined faught bush warheavy wonderful unt,True
